loss,acc,f1_m,precision_m,recall_m,top_5_categorical_accuracy,val_loss,val_acc,val_f1_m,val_precision_m,val_recall_m,val_top_5_categorical_accuracy
0.158,0.944,0.933,0.933,0.933,1,0.181,0.973,0.973,0.973,0.973,1
0.128,0.97,0.979,0.979,0.979,1,0.177,0.973,0.973,0.973,0.973,1
0.164,0.97,0.979,0.979,0.979,1,0.176,0.973,0.973,0.973,0.973,1
0.141,0.966,0.977,0.977,0.977,1,0.178,0.973,0.973,0.973,0.973,1
0.137,0.97,0.979,0.979,0.979,1,0.174,0.973,0.973,0.973,0.973,1
0.157,0.948,0.964,0.964,0.964,1,0.171,0.982,0.982,0.982,0.982,1
0.132,0.966,0.977,0.977,0.977,1,0.167,0.982,0.982,0.982,0.982,1
0.144,0.955,0.969,0.969,0.969,1,0.164,0.982,0.982,0.982,0.982,1
0.138,0.966,0.893,0.893,0.893,1,0.163,0.982,0.982,0.982,0.982,1
0.146,0.966,0.921,0.921,0.921,1,0.163,0.973,0.973,0.973,0.973,1
0.146,0.966,0.977,0.977,0.977,1,0.161,0.973,0.973,0.973,0.973,1
0.127,0.963,0.974,0.974,0.974,1,0.158,0.973,0.973,0.973,0.973,1
0.107,0.978,0.984,0.984,0.984,1,0.153,0.982,0.982,0.982,0.982,1
0.156,0.944,0.933,0.933,0.933,1,0.151,0.982,0.982,0.982,0.982,1
0.113,0.993,0.995,0.995,0.995,1,0.149,0.982,0.982,0.982,0.982,1
0.138,0.951,0.966,0.966,0.966,1,0.146,0.982,0.982,0.982,0.982,1
0.144,0.966,0.977,0.977,0.977,1,0.143,0.982,0.982,0.982,0.982,1
0.12,0.97,0.951,0.951,0.951,1,0.134,0.982,0.982,0.982,0.982,1
0.146,0.963,0.919,0.919,0.919,1,0.136,0.982,0.982,0.982,0.982,1
0.113,0.981,0.987,0.987,0.987,1,0.133,0.982,0.982,0.982,0.982,1
0.115,0.981,0.987,0.987,0.987,1,0.13,0.982,0.982,0.982,0.982,1
0.119,0.97,0.951,0.951,0.951,1,0.126,0.982,0.982,0.982,0.982,1
0.093,0.97,0.979,0.979,0.979,1,0.122,0.982,0.982,0.982,0.982,1
0.093,0.981,0.987,0.987,0.987,1,0.118,0.982,0.982,0.982,0.982,1
0.127,0.966,0.949,0.949,0.949,1,0.119,0.982,0.982,0.982,0.982,1
0.1,0.981,0.987,0.987,0.987,1,0.115,0.982,0.982,0.982,0.982,1
0.148,0.948,0.908,0.908,0.908,1,0.111,0.982,0.982,0.982,0.982,1
0.105,0.981,0.987,0.987,0.987,1,0.112,0.982,0.982,0.982,0.982,1
0.086,0.981,0.987,0.987,0.987,1,0.11,0.982,0.982,0.982,0.982,1
0.08,0.993,0.995,0.995,0.995,1,0.108,0.982,0.982,0.982,0.982,1
